t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
11.810,map,2.3165,6.7694,1.6377,2.3166,6.7626,1.6344
11.910,map,2.3135,6.8144,1.6373,2.3137,6.8075,1.6344
12.010,map,2.3105,6.8593,1.6378,2.3109,6.8524,1.6344
12.110,map,2.3074,6.9044,1.6378,2.3080,6.8973,1.6345
12.210,map,2.3044,6.9492,1.6378,2.3051,6.9422,1.6344
12.310,map,2.3014,6.9888,1.6377,2.3023,6.9872,1.6344
12.410,map,2.2984,7.0287,1.6376,2.2994,7.0321,1.6344
12.510,map,2.2955,7.0735,1.6375,2.2965,7.0770,1.6344
12.610,map,2.2925,7.1182,1.6372,2.2937,7.1219,1.6343
12.710,map,2.2894,7.1621,1.6447,2.2908,7.1659,1.6420
12.810,map,2.2857,7.2061,1.6669,2.2872,7.2098,1.6646
12.910,map,2.2808,7.2501,1.6969,2.2824,7.2536,1.6948
13.010,map,2.2746,7.2942,1.7241,2.2763,7.2974,1.7219
13.110,map,2.2673,7.3382,1.7475,2.2691,7.3413,1.7456
13.210,map,2.2590,7.3820,1.7683,2.2609,7.3851,1.7664
13.310,map,2.2498,7.4254,1.7869,2.2518,7.4288,1.7847
13.410,map,2.2400,7.4687,1.8027,2.2419,7.4725,1.8007
13.510,map,2.2294,7.5120,1.8168,2.2314,7.5160,1.8147
13.610,map,2.2182,7.5590,1.8295,2.2203,7.5594,1.8272
13.710,map,2.2064,7.6092,1.8408,2.2087,7.6028,1.8382
13.810,map,2.1943,7.6517,1.8513,2.1966,7.6460,1.8483
13.910,map,2.1817,7.6952,1.8546,2.1842,7.6893,1.8513
14.010,map,2.1693,7.7376,1.8536,2.1719,7.7321,1.8503
14.110,map,2.1570,7.7803,1.8522,2.1596,7.7749,1.8493
14.210,map,2.1445,7.8235,1.8515,2.1473,7.8182,1.8484
14.310,map,2.1321,7.8666,1.8510,2.1349,7.8614,1.8477
14.410,map,2.1197,7.9094,1.8549,2.1226,7.9047,1.8515
14.510,map,2.1073,7.9516,1.8575,2.1102,7.9473,1.8544
14.610,map,2.0961,7.9900,1.8475,2.0991,7.9858,1.8441
14.710,map,2.0866,8.0247,1.8312,2.0896,8.0210,1.8274
